City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vila Franca do Campo,75,PT,1539354600,93,37.72,-25.43,66.2,14.99
Busselton,44,AU,1539356293,100,-33.64,115.35,59.14,6.17
Butaritari,48,KI,1539356293,100,3.07,172.79,80.73,6.73
Punta Arenas,75,CL,1539352800,61,-53.16,-70.91,46.4,17.22
Albany,90,US,1539355620,65,42.65,-73.75,53.96,16.11
Eyl,20,SO,1539356294,66,7.98,49.82,82.9,14.56
Hasaki,75,JP,1539352800,68,35.73,140.83,64.4,8.05
Baoding,80,CN,1539356294,72,38.86,115.49,46.9,3.04
Cape Town,20,ZA,1539352800,45,-33.93,18.42,68.0,19.46
Okakarara,88,NA,1539356295,13,-20.59,17.46,89.1,5.95
San Patricio,100,PY,1539356295,98,-26.98,-56.83,75.6,8.63
Roros,75,NO,1539354000,71,62.57,11.38,53.6,6.93
Hobart,20,AU,1539354600,87,-42.88,147.33,46.4,2.24
Avarua,75,CK,1539352800,69,-21.21,-159.78,73.4,11.41
Saskylakh,64,RU,1539356296,88,71.97,114.09,23.31,5.61
Abbeyfeale,75,IE,1539354600,82,52.38,-9.3,55.4,16.11
Flinders,75,AU,1539353100,100,-34.58,150.85,53.6,1.12
Beitbridge,0,ZA,1539356297,22,-22.21,29.99,93.51,10.65
Baillif,48,GP,1539354600,88,16.02,-61.75,77.0,11.41
Goderich,68,CA,1539356298,81,43.74,-81.71,48.15,17.25
Sheridan,40,US,1539354960,92,39.65,-105.03,40.82,2.93
Bredasdorp,0,ZA,1539352800,55,-34.53,20.04,64.4,20.8
Lagoa,20,PT,1539354600,73,37.14,-8.45,75.2,6.93
Vaini,80,IN,1539356299,63,15.34,74.49,79.3,0.13
Rio Brilhante,0,BR,1539356299,84,-21.8,-54.54,85.23,11.99
Port Alfred,100,ZA,1539356299,96,-33.59,26.89,61.66,13.67
Coquimbo,75,CL,1539352800,62,-29.95,-71.34,59.0,5.82
Kisangani,24,CD,1539356300,80,0.52,25.21,81.19,1.92
Kavieng,68,PG,1539356300,100,-2.57,150.8,82.54,9.64
Gamba,24,CN,1539356301,70,28.28,88.52,11.52,2.26
Ugoofaaru,32,MV,1539356301,100,5.67,73.0,79.39,6.06
La Sarre,80,CA,1539356159,87,48.8,-79.2,35.56,15.9
Rikitea,92,PF,1539356302,100,-23.12,-134.97,70.56,10.76
Saint-Philippe,75,CA,1539353700,66,45.36,-73.48,50.0,16.11
Vanimo,48,PG,1539356302,100,-2.67,141.3,83.07,11.21
Puerto Ayora,40,EC,1539352800,60,-0.74,-90.35,73.4,9.17
Hilo,90,US,1539352380,90,19.71,-155.08,71.06,4.7
Vilhena,40,BR,1539352800,78,-12.74,-60.15,80.6,4.7
Hamilton,20,BM,1539352500,74,32.3,-64.78,78.8,16.11
Coruripe,64,BR,1539356304,94,-10.12,-36.18,79.11,12.77
Ushuaia,75,AR,1539352800,65,-54.81,-68.31,44.6,21.92
Pevek,0,RU,1539356304,100,69.7,170.27,27.19,7.4
Thompson,75,CA,1539352800,92,55.74,-97.86,14.0,2.24
Bontang,92,ID,1539356305,100,0.12,117.47,75.06,7.4
Faya,40,SA,1539352800,16,18.39,42.45,80.6,8.05
Barcelos,75,PT,1539354600,68,41.53,-8.62,75.2,18.34
Bathsheba,20,BB,1539352800,74,13.22,-59.52,86.0,12.75
Ancud,64,CL,1539356046,77,-41.87,-73.83,50.58,3.94
Monte Patria,0,CL,1539356306,92,-30.69,-70.96,50.85,2.26
Novobirilyussy,0,RU,1539356306,63,56.95,90.69,45.1,10.87
Nikolskoye,90,RU,1539352800,93,59.7,30.79,50.0,8.95
Tasiilaq,88,GL,1539352200,60,65.61,-37.64,39.2,27.51
East London,90,ZA,1539352800,87,-33.02,27.91,55.4,9.17
Barrow,76,AR,1539356088,60,-38.31,-60.23,56.35,12.66
Georgetown,75,GY,1539352800,66,6.8,-58.16,89.6,11.41
Kaitangata,76,NZ,1539356309,70,-46.28,169.85,40.77,14.34
Pangnirtung,20,CA,1539352800,68,66.15,-65.72,24.8,10.29
Torbay,90,CA,1539352800,60,47.66,-52.73,41.0,9.17
Tuktoyaktuk,90,CA,1539352800,92,69.44,-133.03,24.8,4.7
Shelburne,90,CA,1539355440,81,44.08,-80.2,48.2,14.99
Mount Gambier,0,AU,1539356311,61,-37.83,140.78,55.35,5.84
Half Moon Bay,1,US,1539352800,82,37.46,-122.43,55.4,4.38
Guerrero Negro,92,MX,1539356312,96,27.97,-114.04,70.11,14.79
Hermanus,0,ZA,1539356312,46,-34.42,19.24,64.0,13.33
Narsaq,75,GL,1539352200,58,60.91,-46.05,28.4,2.24
Kapaa,20,US,1539352560,81,22.08,-159.32,73.94,9.17
Laredo,90,US,1539353700,90,27.51,-99.51,78.8,6.93
Saint George,75,GR,1539354000,82,39.45,22.34,60.8,9.17
Arraial do Cabo,40,BR,1539352800,78,-22.97,-42.02,80.6,16.11
Mataura,92,NZ,1539356313,77,-46.19,168.86,38.88,8.63
Ormond Beach,40,US,1539355620,74,29.29,-81.06,80.6,8.19
Assiniboia,64,CA,1539356314,79,49.63,-105.99,32.58,13.0
Havoysund,0,NO,1539354000,70,71.0,24.66,44.6,26.4
Lorengau,20,PG,1539356314,97,-2.02,147.27,84.79,7.63
Chokurdakh,76,RU,1539356314,88,70.62,147.9,22.41,5.84
Mayor Pablo Lagerenza,68,PY,1539356315,62,-19.93,-60.77,88.75,11.65
Vanderhoof,92,CA,1539356306,71,54.02,-124.02,39.6,13.44
Ballina,75,IE,1539354600,76,54.11,-9.15,53.6,23.04
Anadyr,76,RU,1539352800,100,64.73,177.51,32.0,8.95
Atuona,88,PF,1539356316,99,-9.8,-139.03,80.56,19.37
Katangli,0,RU,1539356317,100,51.71,143.23,43.2,13.22
Khatanga,0,RU,1539356317,83,71.98,102.47,24.75,14.9
Tres Arroyos,76,AR,1539356317,60,-38.38,-60.28,56.35,12.66
Sambava,88,MG,1539356317,100,-14.27,50.17,73.98,14.67
Laguna,75,MX,1539351660,94,27.52,-110.01,71.6,6.93
Scarborough,92,GB,1539352200,77,54.28,-0.41,64.4,24.16
Mar del Plata,0,AR,1539356270,40,-46.43,-67.52,60.21,13.78
Lebu,20,ET,1539352800,26,8.96,38.73,71.6,11.41
Fortuna,0,ES,1539354600,45,38.18,-1.13,82.4,5.82
Mbumi,0,TZ,1539356319,56,-7.91,39.21,82.98,8.19
Mayskiy,90,RU,1539352800,55,43.63,44.06,60.8,2.24
Namibe,0,AO,1539356320,100,-15.19,12.15,70.66,8.75
Vaitape,20,PF,1539356320,100,-16.52,-151.75,78.57,21.16
Auxerre,0,FR,1539354600,50,47.8,3.58,78.8,9.17
Weligama,12,LK,1539356321,98,5.97,80.42,78.12,3.6
Jiangyin,0,CN,1539356321,76,31.91,120.26,55.81,9.64
Whitehorse,5,CA,1539352800,92,60.72,-135.06,23.0,4.7
Korosladany,0,HU,1539354600,38,46.97,21.08,75.2,5.61
Norman Wells,75,CA,1539352800,92,65.28,-126.83,12.2,3.36
Longyearbyen,75,NO,1539354000,74,78.22,15.63,35.6,5.82
Yellowknife,75,CA,1539352800,79,62.45,-114.38,21.2,9.17
Oranjemund,0,ZA,1539356323,93,-28.55,16.43,60.04,17.69
New Norfolk,20,AU,1539354600,87,-42.78,147.06,46.4,2.24
Verkhnevilyuysk,88,RU,1539356324,89,63.45,120.31,32.31,7.52
Pascagoula,1,US,1539355980,61,30.37,-88.56,68.0,5.82
Vitim,56,RU,1539356324,80,59.44,112.57,33.66,3.49
Sabang,92,PH,1539356325,88,13.72,123.58,82.26,9.19
Canutama,64,BR,1539356325,80,-6.53,-64.38,85.06,3.38
Esperance,20,TT,1539352800,59,10.24,-61.45,89.6,10.29
Vao,0,EE,1539356326,89,59.1,26.19,55.71,7.96
